Unnamed: 0,번호,제목,저자,출판사,출판일
,54,Evaluating Big-Neuroimaging-Data Informed Vulnerability Indices for Neuropsychiatric Disorder,"Kochunov, Peter","Elsevier Science B.V., Amsterdam.",2022
,55,A big-data oriented recommendation method based on multi-objective optimization,"Xu, Chonghuan","Elsevier Science B.V., Amsterdam.",2019
,56,"The Big-Data-Driven Intelligent Wireless Network: Architecture, Use Cases, Solutions, and Future Trends","I, C.; Sun, Q.; Liu, Z.; Zhang, S.; Han, S.","Institute of Electrical and Electronics Engineers, Inc.",2017
,57,A big-data model for multi-modal public transportation with application to macroscopic control and optimisation,"Faizrahnemoon, Mahsa; Schlote, Arieh; Maggi, Lorenzo; Crisostomi, Emanuele; Shorten, Robert",Taylor & Francis,2015
,58,"Real-world big-data studies in laboratory medicine: Current status, application, and future considerations","Ma, Chaochao; Wang, Xinlu; Wu, Jie; Cheng, Xinqi; Xia, Liangyu; Xue, Fang; Qiu, Ling","Elsevier Science B.V., Amsterdam.",2020
,59,A big-data driven approach to analyzing and modeling human mobility trend under non-pharmaceutical interventions during COVID-19 pandemic,"Hu, Songhua; Xiong, Chenfeng; Yang, Mofeng; Younes, Hannah; Luo, Weiyu; Zhang, Lei","Elsevier Science B.V., Amsterdam",2021
,60,Selbstlernende Big-Data-Analysen für intelligentes Energiemanagement,"Hilt, B.",Springer Science + Business Media,2015
,61,Dynamic Big-Data Broadcast in Fat-Tree Data Center Networks With Mobile IoT Devices,unknown,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2019
,62,"A Big-Data Approach to Understanding the Thematic Landscape of the Field of Business Ethics, 1982–2016","Liu, Ying; Mai, Feng; MacDonald, Chris",Springer Nature,2019
,63,Streetlytics: Big-Data for Real Estate Market Analysis,"Thrall,  Grant",unknown,2015
,64,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,65,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,66,Real‐world Big‐data: Strengths and weaknesses of ASCO's CancerLinQ® discovery multiple myeloma dataset,"DeStefano, Christin B.","John Wiley & Sons, Ltd",2023
,67,A big–data security mechanism based on fully homomorphic encryption using cubic spline curve public key cryptography,"Krishna, Addepalli V. N.",Taylor and Francis,2018
,68,Distributed Big-Data Optimization via Blockwise Gradient Tracking,"Notarnicola, Ivano; Sun, Ying; Scutari, Gesualdo; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,69,Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,"Qiao, Y.; Zhao, X.; Yang, J.; Liu, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,70,"The big-data jobs outlook is encouraging. | GM plans to hire 3,000 HP employees",unknown,CW COMMUNICATIONS INC.,2012
,71,Persisting big-data: The NoSQL landscape,"Corbellini, Alejandro; Mateos, Cristian; Zunino, Alejandro; Godoy, Daniela; Schiaffino, Silvia","Elsevier Science B.V., Amsterdam.",2017
,72,A Big-Data-Analytics Framework for Supporting Classification of ADHD and Healthy Children via Principal Component Analysis of EEG Sleep Spindles Power Spectra,"Dea, Federica De","Elsevier Science B.V., Amsterdam",2019
,73,"A big-data analysis of political rhetoric relating the developments of the United States, China, and global powers","Carter, Patrick; Wang, Jeffrie; Chau, Davis",Emerald Publishing,2020
,74,A Big-Data-Analytics Framework for Supporting Logistics Problems in Smart-City Environments,"Cuzzocrea, Alfredo","Elsevier Science B.V., Amsterdam",2019
,75,A Big-Data-based platform of workers’ behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,76,Sears' Big-Data Strategy? Just a Service Call Away,"Wahba, Phil",Time Inc.,2015
,77,Industrial big-data-driven and CPS-based adaptive production scheduling for smart manufacturing,"Qiao, Fei; Liu, Juan; Ma, Yumin",Taylor & Francis,2021
,78,BIFM: Big-Data Driven Intelligent Forecasting Model for COVID-19,"Dash, Sujata; Chakraborty, Chinmay; Giri, Sourav Kumar; Pani, Subhendu Kumar; Frnda, Jaroslav",IEEE,2021
,79,Clinical big-data-based design of GLUT2-targeted carbon nanodots for accurate diagnosis of hepatocellular carcinomaElectronic supplementary information (ESI) available. See DOI: https://doi.org/10.1039/d2nr04238j,"Heo, Hye Jin",Royal Society of Chemistry,2022
,80,A big-data analytics method for capturing visitor activities and flows: the case of an island country,"Miah, Shah Jahan; Vu, HuyQuan; Gammack, John",Springer Nature,2019
,81,"A Big-Data Perspective on AI: Newton, Merton, and Analytics Intelligence","Wang, F. Y.",COMPUTER SOCIETY,2012
,82,"Recent Big-Data Struggles Are 'Birthing Pains,' Researchers Say.","PARRY, MARC.","Chronicle of higher education, etc",2014
,83,Becoming data-savvy in a big-data world,"Xu, Meng; Rhee, Seung Yon","Elsevier Science B.V., Amsterdam.",2014
,84,Ecology Big-data approaches lead to an increased understanding of the ecology of animal movement,"Nathan, R.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2022
,85,A big-data-driven matching model based on deep reinforcement learning for cotton blending,"Xia, Huosong",Taylor & Francis,2023
,86,"As Big-Data Companies Enter the Classroom, a Pioneer Issues a Warning","BLUMENSTYK, GOLDIE","Chronicle of higher education, etc ",2016
,87,A big-data analysis of human-nature relations in newspaper coverage,"Jaung, Wanggi; Carrasco, L. Roman","Elsevier Science B.V., Amsterdam.",2022
,88,A Big-Data Approach to Contemporary French Politics,"Sobanet, Andrew; Singh, Lisa",Taylor & Francis,2020
,89,A Big-Data-based platform of workers' behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,90,Social Big-Data-Based Content Dissemination in Internet of Vehicles,"Zhou, Z.; Gao, C.; Xu, C.; Zhang, Y.; Mumtaz, S.; Rodriguez, J.",IEEE,2018
,91,A Big-Data Analysis of Disaster Information Dissemination in South Korea,"Hwang, Yongsuk; Jeong, Jaekwan; Jin, Eun-Hyeong; Yu, Hee Ra; Jung, Dawoon",Springer,2018
,92,"A big-data spatial, temporal and network analysis of bovine tuberculosis between wildlife (badgers) and cattle","Moustakas, A.; Evans, M. R.",Springer Science + Business Media,2017
,93,A big-data method to predict the targets of small molecules and accelerate drug discovery,"Madhukar, N.; Khade, P.; Huang, L.; Gayvert, K.; Paraskevi, G.; Elemento, O.","Elsevier Science B.V., Amsterdam.",2016
,94,A Cloud Big-Data-Driven Dynamics Control Approach for Unmanned Ground Vehicles for Safety Improving,"Jiang, Xu; Ni, Jun; Wu, Jiafeng; Yang, Xu",IEEE Institute of Electrical & Electronics,2022
,95,Distributed Partitioned Big-Data Optimization via Asynchronous Dual Decomposition,unknown,IEEE,2018
,96,"A secured big-data sharing platform for materials genome engineering: State-of-the-art, challenges and architecture","Wang, Ran","Elsevier Science B.V., Amsterdam.",2023
,97,Traditional vs. big-data fashion trend forecasting: an examination using WGSN and EDITED,Mikayla DuBreuil; Sheng Lu,TAYLOR & FRANCIS GROUP,2020
,98,A Tensor-Based Big-Data-Driven Routing Recommendation Approach for Heterogeneous Networks,"Wang, Xiaokang; Yang, Laurence T.; Kuang, Liwei; Liu, Xingang; Zhang, Qingxia; Deen, M. Jamal",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,99,A hybrid big-data-based and tolerance-based method to estimate environmental benefits of electric bike sharing,"Liu, Yixiao","Elsevier Science B.V., Amsterdam.",2022
,100,A Comprehensive Big-Data-Based Monitoring System for Yield Enhancement in Semiconductor Manufacturing,"Nakata, K.; Orihara, R.; Mizuoka, Y.; Takagi, K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,1,"21st-Century Investing Big-data companies are soaring. Despite high prices, it's still possible to cash in","Laughlin, L.S.",TIME INC,2014
,2,Editorial: Advanced Big-Data Analysis Methods and Tools for High-Throughput Omics Technologies,"Huang, Tao",Bantham Science Publishers Ltd,2017
,3,An Information‐Resilient Big‐Data Workbench with PDP‐DREAM Software,"Anand, Aniruddh",John Wiley & Sons Ltd,2022
,4,Lessons for big-data projects,"Birney, E.",Nature Publishing Group,2012
,5,Research of Big-Data Mining Visualization Application,"Zhang, C.",Springer Science + Business Media,2014
,6,Optimizing Read-Once Data Flow in Big-Data Applications,"Morad, T. Y.; Shomron, G.; Erez, M.; Kolodny, A.; Weiser, U. C.",IEEE Computer Society,2017
,7,Four Health Data Networks Illustrate The Potential For A Shared National Multipurpose Big-Data Network,"Curtis, L.H.; Brown, J.; Platt, R.",PROJECT HOPE,2014
,8,IBM stellt Big-Data-Services aus Twitter vor,unknown,SPRINGER SCIENCE + BUSINESS MEDIA,2015
,9,Leveraging The Big-Data Revolution: CMS Is Expanding Capabilities To Spur Health System Transformation,"Brennan, N.; Oelschlaeger, A.; Cox, C.; Tavenner, M.",PROJECT HOPE,2014
,10,A methodology for real-time data sustainability in smart city: Towards inferencing and analytics for big-data,"Malik, Kaleem Razzaq; Sam, Yacine; Hussain, Majid; Abuarqoub, Abdelrahman",Elsevier Science,2018
,11,COMPUTING Cloud cover The big-data era is putting pressure on storage methods,unknown,Nature Publishing Group,2015
,12,Israeli firm MedAware offers big-data software that helps detect prescription errors,"Rice,  Sabriya",CRAIN COMMUNICATIONS INC.,2015
,13,Smallholders need access to big-data agronomy too,"Mehrabi, Z.; Jimenez, D.; Jarvis, A.",Nature Publishing Group,2018
,14,A Middleware for Managing Big-Data Flows,"Gupta, R.; Gupta, H.; Gupta, S.; Padmanabhan, S.",SPRINGER-VERLAG,2013
,15,Semantic interoperability for big-data in heterogeneous IoT infrastructure for healthcare,"Ullah, Farhan; Habib, Muhammad Asif; Farhan, Muhammad; Khalid, Shehzad; Durrani, Mehr Yahya; Jabbar, Sohail",Elsevier Science,2017
,16,Ari Caroline: This big-data guru mines analytics to help cancer patients [Resources_Careers],"Nordrum, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,17,Pipelined Multi-GPU MapReduce for Big-Data Processing,"Chen, Y.; Qiao, Z.; Davis, S.; Jiang, H.; Li, K.-C.",Springer Science,2013
,18,Abnormal Operation Tracking through Big-Data-Based Gram—Schmidt Orthogonalization: Production of n-Propyl Propionate in a Simulated Moving-Bed Reactor: A Case Study,"Santana, Vinicius V.; Martins, Márcio A. F.; Rodrigues, Alírio E.; Loureiro, José M.; Ribeiro, Ana M.; Nogueira, Idelfonso B. R.",ACS AMERICAN CHEMICAL SOCIETY,2021
,19,"After Facebook Fiasco, Big-Data Researchers Rethink Ethics.","VOOSEN, PAUL.","Chronicle of higher education, etc",2015
,20,More accountability for big-data algorithms,unknown,Nature Publishing Group,2016
,21,Mobile Edge Computing for Big-Data-Enabled Electric Vehicle Charging,"Cao, Y.; Song, H.; Kaiwartya, O.; Zhou, B.; Zhuang, Y.; Cao, Y.; Zhang, X.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,22,PMU121 APPLICATION OF REAL-WORLD DATA FROM MEDICAL BIG-DATA PLATFORM IN REAL WORLD EVIDENCE GENERATION: A PRACTICE IN POST-MARKETING RESEARCH IN CHINA,"Wang, Y.; Xing, Y.; Wu, Y.; Yuan, N.; Wang, F.; Jiang, B.; Xiong, T.","Elsevier Science B.V., Amsterdam",2020
,23,Green rush in Phuket: big-data evidence of cannabis commercialization in a tourism-centric area,"Phucharoen C; Sangkaew N; Wichupankul S, et al.",Taylor & Francis,2023
,24,Performance Meta-analysis for Big-Data Univariate Auto-Imputation in the Building Sector,"Stefanopoulou, Aliki",Springer,2022
,25,Careers: Graduate programs for big-data analysts,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,26,Comparative Evaluation of Big-Data Systems on Scientific Image Analytics Workloads,"Mehta,  Parmita; Dorkenwald,  Sven; Zhao,  Dongfang; Kaftan,  Tomer; Cheung,  Alvin; Balazinska,  Magdalena; Rokem,  Ariel; Connolly,  Andrew; Vanderplas,  Jacob; Alsayyad,  Yusra",VLDB Endowment,2017
,27,ConEx: Efficient Exploration of Big-Data System Configurations for Better Performance,"Krishna, Rahul; Tang, Chong; Sullivan, Kevin; Ray, Baishakhi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,28,A sustainable Ethereum merge-based Big-Data gathering and dissemination in IIoT System,"Sharma, Ravi","Elsevier Science B.V., Amsterdam",2023
,29,Analysis: Don't do big-data science backwards,"Lindenmayer, D. B.; Likens, G. E.",Nature Publishing Group,2013
,30,Enhancing physical-layer security via big-data-aided hybrid relay selection,"He, H.; Ren, P.; Du, Q.; Sun, L.; Wang, Y.",Springer Science + Business Media,2017
,31,High performance solutions for big-data GWAS,"Peise, E.; Fabregat-Traver, D.; Bientinesi, P.","Elsevier Science B.V., Amsterdam.",2015
,32,An Ultralow-power Memory-based Big-data Computing Platform by Nonvolatile Domain-wall Nanowire Devices,"Wang, Y.; Yu, H.","Red Hook, NY; Curran Associates, Inc.",2013
,33,Daten und Diabetes: Big-Data-Medizin,"Ickrath, M.",Springer Science + Business Media,2016
,34,"Situating Ecology as a Big-Data Science: Current Advances, Challenges, and Solutions","Farley, S. S.; Dawson, A.; Goring, S. J.; Williams, J. W.",BIOSCIENCE SUBSCRIPTION OFFICE,2018
,35,Framework for Aligning Big-Data Strategy with Organizational Goals,"Lakoju,  Mike; Serrano,  Alan","Curran Associates,.",2017
,36,"Political Depression? A Big-Data, Multimethod Investigation of Americans' Emotional Response to the Trump Presidency","Simchon, Almog; Guntuku, Sharath Chandra; Simhon, Rotem; Ungar, Lyle H.; Hassin, Ran R.; Gilead, Michael",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2020
,37,Industrial Symbiosis: Exploring Big-data Approach for Waste Stream Discovery,"Song, Bin; Yeo, Zhiquan; Kohls, Paul; Herrmann, Christoph","Elsevier Science B.V., Amsterdam",2017
,38,Performance evaluation of NoSQL big-data applications using multi-formalism models,"Barbierato, E.; Gribaudo, M.; Iacono, M.","Elsevier Science B.V., Amsterdam.",2014
,39,JBHI Special Issue of Big-Data for Health,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,40,Integrative Biology and Big-Data-Centrism: Mapping out a Bioscience Ethics Perspective with a S.W.O.T. Matrix,"Überall, Martina; Werner-Felmayer, Gabriele",Mary Ann Leibert,2019
,41,Design and Implementation of Big-Data Analysis Application on Spark for Distribution Network Based on Data Interception,"Zhang, Pan; Ding, Lingyun; Jiang, Ning; Ling, Wanshui; Ding, Yi","Elsevier Science B.V., Amsterdam",2018
,42,Advancing manufacturing systems with big-data analytics: A conceptual framework,"Kozjek, Dominik; Vrabič, Rok; Rihtaršič, Borut; Lavrač, Nada; Butala, Peter",Taylor & Francis,2020
,43,"„Wichtig ist auch der Hinweis, dass Big-Data- und vergleichbare Konzepte nicht unmittelbar greifen“",unknown,Springer Science + Business Media,2016
,44,High-performance interconnection networks in the Exascale and Big-Data Era,"Escudero-Sahuquillo, J. s.; Garcia, P. J.",Springer Science + Business Media,2016
,45,"Phylogenomics — principles, opportunities and pitfalls of big‐data phylogenetics","Young, Andrew D.; Gillung, Jessica P.","John Wiley & Sons, Ltd",2020
,46,An Enhanced Load Balancing Technique for Big-data Cloud Computing Environments,"Oduwole, O.A.",Taylor & Francis,2022
,47,A code offloading scheme for big-data processing in android applications,"Hung, S. H.; Tzeng, T. T.; Wu, G. D.; Shieh, J. P.","John Wiley & Sons, Ltd",2015
,48,"Physical education's grand convergence: Fitnessgram®, big-data and the digital commerce of children's health","Pluim, Carolyn; Gard, Michael",Taylor & Francis,2018
,49,Editorial Note: HCI Systems for Big-Data Based Multimedia Applications,unknown,Springer Science + Business Media,2017
,50,PWR pin-homogenized cross-sections analysis using big-data technology,"Hua, Guowei; Li, Yunzhao; Wang, Sicheng","Elsevier Science B.V., Amsterdam.",2020
,51,In sieben Schritten zum erfolgreichen Big-Data-Projekt,"Conrads, R.",Springer Science + Business Media,2014
,52,Decentralized Opportunistic Channel Access in CRNs Using Big-Data Driven Learning Algorithm,"Xu, Zuohong",IEEE,2021
,53,A Study on Monitoring Models for Big-Data Traffic Analysis and Utilization,Hae-Jong Joo; Moon-Taek Cho; Jong-Suk Lee,International Information Institute,2015
,54,Seeking Alpha from Dividend Announcements: Big-Data Insights from Joining CAR and EVA Style Analysis,Atreya Chakraborty ; James L. Grant ; Emery A. Trahan ; Bhakti Varma,Institutional Investor Inc,2021
,55,The Linear Estimation Problem and Information in Big-Data Systems,"Golubtsov, P. V.",Springer Nature,2018
,56,Randomized Block Proximal Methods for Distributed Stochastic Big-Data Optimization,"Farina, Francesco; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,57,Deadline-Aware Scheduling and Flexible Bandwidth Allocation for Big-Data Transfers,"Srinivasan, Srinikethan Madapuzi",IEEE,2018
,58,Structural Health Monitoring as a Big-Data Problem,"Cremona, C.; Santos, J.","IABSE, ETH-HONGGERBERG",2018
,59,Economics and econophysics in the era of Big Data,"Cheong, S. A.",SPRINGER,2016
,60,Comparing eco-civilization theory and practice: Big-data evidence from China,"Wang, Ning","Elsevier Science B.V., Amsterdam.",2022
,61,Biology must develop its own big-data systems,"Boyle, J.",Nature Publishing Group,2013
,62,Position synchronization for track geometry inspection data via big-data fusion and incremental learning,"Wang, Yuan; Wang, Ping; Wang, Xin; Liu, Xiang","Elsevier Science B.V., Amsterdam.",2018
,63,Vergleich von Kompetenzanforderungen an Business-Intelligence- und Big-Data-Spezialisten,"Debortoli, S.; Müller, O.; Brocke, J. v.",unknown,2014
,64,The Power of Message Networks: A Big-Data Analysis of the Network Agenda Setting Model and Issue Ownership,"Guo, Lei; Vargo, Chris",Taylor & Francis,2015
,65,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",Cham; Springer,2014
,66,AD EXEC OF THE FUTURE? BIG-DATA DRAPER,"Kerwin, Ann Marie; Zmuda, Natalie","Crain Communications, Inc.",2013
,67,Fast algorithm for relaxation processes in big-data systems (10 pages),"Hwang, S.; Lee, D.-S.; Kahng, B.",AMERICAN PHYSICAL SOCIETY,2014
,68,Emergency Drug Procurement Planning Based on Big-Data Driven Morbidity Prediction,"Song, Qin",IEEE,2019
,69,Fine-Grained Dynamic Resource Allocation for Big-Data Applications,"Baresi, Luciano; Leva, Alberto; Quattrocchi, Giovanni",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,70,GlobeLand30: Operational global land cover mapping and big-data analysis,"Chen, Jun; Chen, Jin",Springer Nature,2018
,71,Analysis of production cycle-time distribution with a big-data approach,"Tan, Xu",Springer Nature,2020
,72,22.4 Starting to Think About Big-Data Approaches to Clinical Detection of Early-Stage Bipolar Disorder: Evidence-Based Assessment and Statistical Learning Models,"Youngstrom, Eric; Lindheim, Oliver",Elsevier,2018
,73,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",SPRINGER-VERLAG,2014
,74,Monsanto throws its hat in the big-data ring,unknown,CXO MEDIA,2013
,75,A qualitative readiness-requirements assessment model for enterprise big-data infrastructure investment [9122-13],"Olama, M.M.; McNair, A.W.; Sukumar, S.R.; Nutaro, J.J.",International Society for Optical Engineering; 1999,2014
,76,E-commerce logistics distribution mode in big-data context: A case analysis of JD.COM,"Zheng, Kangning; Zhang, Zuopeng; Song, Bin","Elsevier Science B.V., Amsterdam.",2020
,77,JBHI Special Issue of &#x201C;Big-Data for Health&#x201D;,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,78,Identifying industrial clusters with a novel big-data methodology: Are SIC codes (not) fit for purpose in the Internet age?,"Papagiannidis, Savvas; See-To, Eric W.K.; Assimakopoulos, Dimitris G.; Yang, Yang","Elsevier Science B.V., Amsterdam.",2018
,79,A Critical Review of the Big-Data Paradigm,"Xing, Ruben;Ren, Jinluan;Sun, JianghuaLiu, Lihua",IGI Publishing,2016
,80,An Out of Memory tSVD for Big-Data Factorization,"Carrillo-Cabada, Hector; Skau, Erik; Chennupati, Gopinath; Alexandrov, Boian; Djidjev, Hristo",IEEE,2020
,81,Interview mit Stefan Wrobel zum Thema „Angewandte Big-Data-Forschung“,"Jarke, M.",unknown,2014
,82,Interview mit Michael Feindt zum Thema „Präskriptive Big-Data-Analyse“,"Jarke, M.",unknown,2014
,83,Failure Analysis and Prediction for Big-Data Systems,"Rosa, A.; Chen, L. Y.; Binder, W.",Institute of Electrical & Electronics Engineers,2017
,84,"DUG Insight: A software package for big-data analysis and visualisation, and its demonstration for passive radar space situational awareness using radio telescopes","Grigg, D.","Elsevier Science B.V., Amsterdam",2022
,85,Predicting the pattern of technology convergence using big-data technology on large-scale triadic patents,"Lee, W. S.; Han, E. J.; Sohn, S. Y.","Elsevier Science B.V., Amsterdam.",2015
,86,Cost optimization for deadline-aware scheduling of big-data processing jobs on clouds,"Zheng, Wei; Qin, Yingsheng; Bugingo, Emmanuel; Zhang, Dongzhan; Chen, Jinjun","Elsevier Science B.V., Amsterdam.",2018
,87,Regional Ways of Seeing: A Big-Data Approach for Measuring Ancient Visualscapes,"Susmann, Natalie M.",Cambridge University Press,2020
,88,Reduced Topologically Real-World Networks: A Big-Data Approach,"Trovati, Marcello",IGI Publishing,2015
,89,Mapping collective behavior in the big-data era,"Bentley, R.A.; O Brien, M.J.; Brock, W.A.",CAMBRIDGE UNIVERSITY PRESS,2014
,90,Safety intelligence toward safety management in a big-data environment: A general model and its application in urban safety management,"Wang, Bing","Elsevier Science B.V., Amsterdam.",2022
,91,RW4 APPLICATION OF ARTIFICIAL INTELLIGENCE AND MEDICAL BIG-DATA IN REAL WORLD EVIDENCE GENERATION: A LITERATURE REVIEW OF RESEARCH PRACTICE IN CHINA,"Xiong, T.; Li, J.; Hao, Y.; Xu, J.","Elsevier Science B.V., Amsterdam",2019
,92,"Stochastic Approximation: From Statistical Origin to Big-Data, Multidisciplinary Applications","Lai, Tze Leung; Yuan, Hongsong",IMS INSTITUTE OF MATHEMATICAL STATISTICS,2021
,93,Government responsiveness and public acceptance of big-data technology in urban governance: Evidence from China during the COVID-19 pandemic,"Guo, Yue; Chen, Jidong; Liu, Zhilin","Elsevier Science B.V., Amsterdam.",2022
,94,"Symposium on insure‐tech, digitalization, and big‐data techniques in risk management and insurance",Daniel Bauer,wiley,2021
,95,Evolutionary Scheduling of Dynamic Multitasking Workloads for Big-Data Analytics in Elastic Cloud,"Zhang, F.; Cao, J.; Tan, W.; Khan, S. U.; Li, K.; Zomaya, A. Y.",IEEE,2014
,96,The China Kidney Disease Network (CK-NET): “Big Data—Big Dreams”,"Saran, Rajiv; Steffick, Diane; Bragg-Gresham, Jennifer",W B SAUNDERS CO,2017
,97,Interplay of aging and practice in conflict processing: A big-data diffusion-model analysis,"Kelber, Paul; Mittelstädt, Victor; Ulrich, Rolf",American Psychological Association,2025
,98,WCN23-1058 PREDICTION OF INTRADIALYTIC BLOOD-PRESSURE VARIATION BASED ON BIG-DATA Abstract paid for submission 2022-A-WCN23-0997(200026395365),"LIN, C.J.","Elsevier Science B.V., Amsterdam",2023
,99,Optimization assisted bidirectional gated recurrent unit for healthcare monitoring system in big-data,"Shukla, Prashant Kumar;Stalin, Shalini;Joshi, Shubham;Shukla, Piyush KumarPareek, Piyush Kumar",Elsevier,2023
,100,Modeling for Global Management of Complex Product Subject Data Oriented at Big-Data,"Wu, D.; Yin, G.F.",TRANS TECH PUBLICATIONS,2014
,1,A Cloud-Distributed GPU Architecture for Pattern Identification in Segmented Detectors Big-Data Surveys,"Napoli, C.; Pappalardo, G.; Tramontana, E.; Zappalà, G.",Oxford University Press,2016
,2,Text mining geo-visualization of patent documents on geo-spatial big-data industry,"Choi, Wonwook",Springer Nature,2018
,3,Aspirin and heart disease form focus of US big-data health initiative,unknown,Nature Publishing Group,2014
,4,"A candidate gene identification strategy utilizing mouse to human big-data mining: ""3R-tenet"" in COPD genetic research","Vishweswaraiah, Sangeetha; George, Leema; Purushothaman, Natarajan; Ganguly, Koustav",Springer Nature,2018
,5,Stochastic Decision Making for Adaptive Crowdsourcing in Medical Big-Data Platforms,"Kim, J.; Lee, W.",IEEE,2015
,6,An error‐correction and anti‐interference coding method for tracking big‐data information of commodities,Jiaxin Wan,"John Wiley & Sons, Inc.",2021
,7,Real-time business activity monitoring and analysis of process performance on big-data domains,"Vera-Baquero, Alejandro; Colomo-Palacios, Ricardo; Molloy, Owen","Elsevier Science B.V., Amsterdam.",2016
,8,P0363 / #645: AN INFORMATICS APPROACH TO IMPROVE THE EFFICIENCY OF CLINICAL BIG-DATA MANAGEMENT AND EXTRACTED DATA QUALITY FOR CLINICAL TRIALS: A SCOTTISH PICU'S PERSPECTIVE.,"Van Dijke, M.","Lippincott, Williams & Wilkins",2021
,9,Commuting inequity and its determinants in Shanghai: New findings from big-data analytics,"Zhao, Pengjun; Cao, Yushu","Elsevier Science B.V., Amsterdam.",2020
,10,"Neuroimaging PheWAS (Phenome-Wide Association Study): A Free Cloud-Computing Platform for Big-Data, Brain-Wide Imaging Association Studies","Zhao, Lu;Batta, Ishaan;Matloff, William;O’Driscoll, Caroline;Hobel, SamuelToga, Arthur W.","Humana Press, Inc.",2021
,11,From corpus creation to formative discovery: the power of big-data-rhetoric teams and methods,"Ryan, Sarah E.",Taylor & Francis,2023
,12,Reproductive medicine at the crossroads of stem cell biology and big-data,"Tilly, Jonathan L.; Woods, Dori C.","Elsevier Science B.V., Amsterdam.",2021
,13,WHEN SHOULD INVESTORS SHORT THE STOCKS OF ACQUIRING FIRMS? BIG-DATA INSIGHTS FROM JOINING CAR AND EVA STYLE ANALYSIS,"Chakraborty, Atreya; Grant, James L.; Trahan, Emery A.; Varma, Bhakti",INSTITUTIONAL INVESTOR INC.,2019
,14,Analyzing the Influencing Factors of Urban Thermal Field Intensity Using Big-Data-Based GIS,"Huanchun, Huang; Hailin, Yang; Xin, Deng; Cui, Hao; Zhifeng, Liu; Wei, Liu; Peng, Zeng",Elsevier Science,2020
,15,"Digital conversations about suicide among teenagers and adults with epilepsy: A big‐data, machine learning analysis",Tatiana Falcone,wiley,2020
,16,Androgen Deprivation Therapy and Dementia: New Opportunities and Challenges in the Big-Data Era,"Nead,  Kevin T.",American Society of Clinical Oncology,2017
,17,Dynamic fracture of a bicontinuously nanostructured copolymer: A deep-learning analysis of big-data-generating experiment,"Jin, Hanxun","Elsevier Science B.V., Amsterdam.",2022
,18,An efficient and forward-secure lattice-based searchable encryption scheme for the Big-data era,"Islam, SK Hafizul; Mishra, Nimish; Biswas, Souvik; Keswani, Bharat; Zeadally, Sherali","Elsevier Science B.V., Amsterdam.",2021
,19,``Leadership in Action: How Top Hackers Behave'' A Big-Data Approach with Text-Mining and Sentiment Analysis,"Biswas, Baidyanath; Mukhopadhyay, Arunabha; Gupta, Gaurav",IEEE,2018
,20,Siting public electric vehicle charging stations in Beijing using big-data informed travel patterns of the taxi fleet,"Cai, H.; Jia, X.; Chiu, A.S.F.; Hu, X.; Xu, M.","Elsevier Science B.V., Amsterdam.",2014
,21,Symmetrical Compression Distance for Arrhythmia Discrimination in Cloud-Based Big-Data Services,"Lillo-Castellano, J. M.; Mora-Jimenez, I.; Santiago-Mozos, R.; Chavarria-Asso, F.; Cano-Gonzalez, A.; Garcia-Alberola, A.; Rojo-Alvarez, J. L.",IEEE,2015
